date,stock_id,VALUE_CON_PB,VALUE_CON_PB_ORDER,VALUE_CON_PB_ROLLING,VALUE_CON_PB_ROLLING_ORDER,VALUE_CON_PE,VALUE_CON_PE_ORDER,VALUE_CON_PE_ROLLING,VALUE_CON_PE_ROLLING_ORDER,VALUE_CON_PEG,VALUE_CON_PEG_ORDER,VALUE_CON_PEG_ROLLING,VALUE_CON_PEG_ROLLING_ORDER,VALUE_CON_PS,VALUE_CON_PS_ORDER,VALUE_CON_PS_ROLLING,VALUE_CON_PS_ROLLING_ORDER,PROFIT_CON_EPS,PROFIT_CON_EPS_ROLLING,PROFIT_CON_NP,PROFIT_CON_NP_ROLLING,PROFIT_CON_OR,PROFIT_CON_OR_ROLLING,PROFIT_CON_ROE,PROFIT_CON_TYPE,GROWTH_CON_NA_YOY,GROWTH_CON_NP_YOY,GROWTH_CON_NPCGRATE_13W,GROWTH_CON_NPCGRATE_1W,GROWTH_CON_NPCGRATE_26W,GROWTH_CON_NPCGRATE_2Y,GROWTH_CON_NPCGRATE_4W,GROWTH_CON_NPCGRATE_52W,GROWTH_CON_OR_YOY,GROWTH_CON_ROE_YOY1,GROWTH_CON_ROE_YOY2,GROWTH_CON_ROE_YOY3,SCALE_CON_NA,SCALE_CON_NA_ROLLING,SCALE_MCAP,SCALE_NA,SCALE_TA,SCALE_TCAP,EMOTION_CON_TARGET_PRICE,EMOTION_MARKET_CONFIDENCE_10D,EMOTION_MARKET_CONFIDENCE_15D,EMOTION_MARKET_CONFIDENCE_25D,EMOTION_MARKET_CONFIDENCE_5D,EMOTION_MARKET_CONFIDENCE_75D,EMOTION_OPTIMISM_CONFIDENCE_10D,EMOTION_OPTIMISM_CONFIDENCE_15D,EMOTION_OPTIMISM_CONFIDENCE_25D,EMOTION_OPTIMISM_CONFIDENCE_5D,EMOTION_OPTIMISM_CONFIDENCE_75D,EMOTION_PESSIMISM_CONFIDENCE_10D,EMOTION_PESSIMISM_CONFIDENCE_15D,EMOTION_PESSIMISM_CONFIDENCE_25D,EMOTION_PESSIMISM_CONFIDENCE_5D,EMOTION_PESSIMISM_CONFIDENCE_75D,EMOTION_TARGET_PRICE_TYPE,SCORE_SCORE,SCORE_SCORE_ROC_13WEEK,SCORE_SCORE_ROC_1WEEK,SCORE_SCORE_ROC_26WEEK,SCORE_SCORE_ROC_4WEEK,SCORE_SCORE_ROC_52WEEK,SCORE_SUMVALUE_GZ,SCORE_SUMVALUE_SC,SCORE_SUMVALUE_YJ
2017-04-20,SH600000,0.7782,0.4167,0.7505,0.4167,5.7115,0.125,5.56,0.125,0.7451,0.4167,0.8887,0.4167,1.8032,0.2083,1.7393,0.2083,2.6105,2.6817,5644367.6761,5798321.5411,17878050.0,18535731.0192,0.136249,1.0,-0.132999,0.063,-4.5493,-0.1013,-3.4695,7.666,-2.3989,4.3325,11.19,-0.008063,-0.003896,,41426939.1161,42957697.589,32232855.364,385271000000.0,5889663000000.0,32232855.364,17.24,0.0322,-0.2072,-0.1194,-0.0181,-1.336,-0.0094,-0.0094,-0.0134,-0.0094,-0.0134,0.0,0.0,0.0,0.0,1.6767,1.0,44.85,-0.2138,0.0,-0.2481,-0.1039,-0.2976,5.4,15.0,24.45
2017-04-20,SH600004,1.7983,0.3333,1.6182,0.0,13.9016,0.0,14.8308,0.0,2.4058,1.0,,,3.0731,0.0,2.6681,0.0,1.1826,1.1085,136743.8648,128196.3408,618570.2857,712624.1186,0.12936,1.0,-0.125512,0.0913,-3.786,-0.2252,-2.1306,5.7784,-2.5877,5.5122,10.07,-0.001561,-0.00819,-0.038667,1057080.7362,1174964.7329,1901149.305,11363719531.42,18608042134.26,1901149.305,16.82,-0.0967,-0.0067,-0.2196,-0.0158,-0.3522,0.0,-0.0004,-0.0041,0.0,-0.0041,0.0,-0.0338,-0.8732,0.0,0.1,1.0,50.25,0.048,-0.0383,0.0182,-0.0383,0.2211,5.4,15.0,29.85
2017-04-20,SH600006,1.9201,0.4545,1.8908,0.4545,33.2826,0.8182,30.6058,0.8182,0.6442,0.5,1.7169,0.9474,0.7632,0.4545,0.7412,0.5,0.1971,0.2143,39200.0,42558.1208,1709433.3333,1757843.379,0.057691,2.0,-0.056821,0.7911,-36.5692,-36.7742,-36.2927,51.667,-36.7742,-45.6311,6.72,0.024056,0.013095,,679481.5051,689039.4264,1312000.0,7398107413.08,21024735976.03,1312000.0,9.7,-1.721,-1.721,-1.721,-1.721,-1.7104,0.0,0.0,0.0,0.0,-0.0078,-2.5915,-2.5915,-2.5915,-2.5915,-1.8293,2.0,45.55,0.2066,0.1261,-0.0044,0.2066,0.0364,8.1,15.0,22.45
2017-04-20,SH600007,3.0944,0.6613,3.0106,0.6613,30.1366,0.6083,28.414,0.6167,3.3284,0.9457,5.0251,0.9222,6.9787,0.84,6.7353,0.848,0.6736,0.7144,67896.6364,72034.1397,293201.0909,303879.4471,0.102681,1.0,-0.099645,-0.0107,-0.5302,0.0,-15.1964,9.0545,-9.9992,-23.0328,24.8,-0.009194,0.010228,,661241.5585,679835.0094,2044783.544,6295459680.0,11560517900.0,2044783.544,25.64,0.0586,-0.0118,-0.2404,0.0,-0.068,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,-0.3941,0.0,-0.3941,1.0,41.05,0.0676,0.0,-0.2489,-0.0375,0.025,5.4,3.0,32.65
2017-04-20,SH600008,3.4863,0.6875,3.4256,0.6875,43.9299,0.625,41.2682,0.625,1.6841,0.6667,1.7287,0.6923,3.6712,0.125,3.5303,0.125,0.1598,0.1701,80826.6555,85735.9548,967167.0323,1002659.8763,0.079361,1.0,-0.07664,0.3231,15.3019,2.2145,14.4868,26.0856,19.7634,22.9178,22.24,0.016628,0.011594,,1018473.0288,1033324.6575,3384071.115,14130978403.92,42812361428.92,3384071.115,7.4333,0.0755,0.2821,0.2821,0.0513,0.2051,0.0,0.0,0.0,0.0,0.0028,0.0,0.0,-0.0627,0.0,-0.0955,2.0,52.65,0.2076,0.0086,-0.134,-0.1312,0.3431,5.4,13.0,34.25
2017-04-20,SH600009,2.6978,1.0,2.6096,1.0,21.0097,0.6667,19.9424,0.6667,1.3742,0.3333,1.5429,1.0,8.6912,1.0,8.3411,1.0,1.6421,1.73,316282.4833,333349.7693,764564.6216,796958.6055,0.128409,1.0,-0.12423,0.1273,-1.7556,0.1703,-2.2311,15.289,0.598,-5.8377,9.99,0.002576,0.007563,,2463089.6108,2547324.5616,3772493.57,23453517904.98,27661242183.24,6648006.646,37.0033,0.0145,0.0249,-0.0212,0.0093,-0.0371,0.0,0.0,0.0,0.0,0.0021,0.0,0.0,-0.058,0.0,-0.058,1.0,65.25,0.0697,-0.0333,0.1211,0.0164,-0.0114,5.4,15.0,44.85
2017-04-20,SH600010,2.101,0.5588,2.0475,0.5294,306.0,0.9677,95.4615,0.8824,,,,,3.5105,0.9118,3.0402,0.9118,0.01,0.0321,32560.7376,104372.7751,2838240.0,3277279.4521,0.006866,2.0,-0.007213,1.0985,-61.5385,0.0,-66.9351,,0.0,-82.8782,26.14,0.077068,0.00668,0.025505,4742289.06,4866287.4726,4817059.392,47626442014.05,142330934055.12,9963585.707,3.15,0.0,0.0,0.0,0.0,-0.3268,0.0,0.0,0.0,0.0,-0.0091,,,,,-0.3268,4.0,36.55,-0.1598,-0.058,-0.2631,-0.1042,-0.1256,2.7,1.0,32.85
2017-04-20,SH600011,1.4025,0.1935,1.3884,0.1935,19.3599,0.3065,18.026,0.3387,-2.0361,1.0,,,0.9058,0.0323,0.902,0.0323,0.3812,0.4094,580904.7257,623360.4743,12415884.9412,12459618.9557,0.072444,1.0,-0.066518,-0.341,-18.4709,0.0,-29.3702,-9.5083,0.2661,-57.7303,9.09,-0.035678,0.014837,,8018637.6134,8094264.6096,7749000.0,93069089349.0,375542682233.0,11217882.979,8.0,-0.0027,-0.0027,-1.7114,0.0,-1.248,0.0,0.0,0.0027,0.0,0.0027,0.0,0.0,-3.374,0.0,-4.0515,1.0,52.55,0.2336,-0.0411,0.1277,0.0145,0.472,2.7,15.0,34.85
2017-04-20,SH600012,2.4268,0.8889,2.3938,0.8889,21.4777,0.7222,22.2117,0.7222,24.0511,0.9333,4.8212,0.8667,6.5273,0.6667,7.1976,0.7222,0.6402,0.619,105700.0,102475.3425,347800.0,316306.8493,0.112994,4.0,-0.108567,0.1326,0.0,0.0,3.0549,0.893,0.0,7.0503,39.17,0.005463,-0.016766,,935448.232,951057.3442,1602700.0,9731766005.76,13374837671.73,2280588.75,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,4.0,50.45,-0.0877,-0.0427,0.307,0.003,0.1039,5.4,15.0,30.05
2017-04-20,SH600015,0.852,0.2917,0.7146,0.3333,5.5206,0.0,4.7407,0.0,0.4569,0.1667,0.416,0.0833,1.8087,0.0417,1.5969,0.0417,1.94,2.2592,2076820.0,2413681.3699,6339110.0,7165483.8356,0.154333,2.0,-0.238099,0.0998,3.9452,0.0,5.2704,12.0841,0.7529,7.7713,7.73,-0.00613,-0.000315,-0.009985,13456733.7287,16011869.9863,11444247.838,156328000000.0,2399055000000.0,11444247.838,14.028,0.0,0.1867,0.3735,0.0,0.7162,0.0,0.0,0.0,0.0,0.0028,0.8403,0.8403,0.8403,0.0,0.8403,2.0,44.75,-0.3089,-0.1826,-0.3763,-0.2115,0.1548,8.1,13.0,23.65
